title,rating,year,actors,languages,runtime,url
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.5,1965,Aleksandr Demyanenko; Mikhail Pugovkin; Aleksei Smirnov; Vladimir Basov,Russian,95,https://www.imdb.com//title/tt0059550/
"The Good, the Bad and the Ugly",8.8,1966,Clint Eastwood; Eli Wallach; Lee Van Cleef; Aldo Giuffrè,Italian;English,161,https://www.imdb.com//title/tt0060196/
Beregis avtomobilya,8.1,1966,Innokentiy Smoktunovskiy; Oleg Efremov; Lyubov Dobrzhanskaya; Olga Aroseva,Russian,94,https://www.imdb.com//title/tt0060161/
Persona,8.1,1966,Bibi Andersson; Liv Ullmann; Margaretha Krook; Gunnar Björnstrand,Swedish;English,85,https://www.imdb.com//title/tt0060827/
Wie is bang voor Virginia Woolf?,8.0,1966,Elizabeth Taylor; Richard Burton; George Segal; Sandy Dennis,English;Latin;Spanish,131,https://www.imdb.com//title/tt0061184/
De slag om Algiers,8.1,1966,Brahim Hadjadj; Jean Martin; Yacef Saadi; Samia Kerbash,Arabic;French;English,121,https://www.imdb.com//title/tt0058946/
Le Samouraï,8.0,1967,Alain Delon; François Périer; Nathalie Delon; Cathy Rosier,French,105,https://www.imdb.com//title/tt0062229/
The Graduate,8.0,1967,Dustin Hoffman; Anne Bancroft; Katharine Ross; William Daniels,English,106,https://www.imdb.com//title/tt0061722/
Cool Hand Luke,8.1,1967,Paul Newman; George Kennedy; Strother Martin; J.D. Cannon,English,127,https://www.imdb.com//title/tt0061512/
Jôi-uchi: Hairyô tsuma shimatsu,8.3,1967,Toshirô Mifune; Yôko Tsukasa; Gô Katô; Tatsuyoshi Ehara,Japanese,128,https://www.imdb.com//title/tt0061847/
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",8.4,1967,Aleksandr Demyanenko; Natalya Varley; Vladimir Etush; Frunzik Mkrtchyan,Russian,82,https://www.imdb.com//title/tt0060584/
Skammen,8.0,1968,Liv Ullmann; Max von Sydow; Sigge Fürst; Gunnar Björnstrand,Swedish,103,https://www.imdb.com//title/tt0063611/
Rosemary's Baby,8.0,1968,Mia Farrow; John Cassavetes; Ruth Gordon; Sidney Blackmer,English,137,https://www.imdb.com//title/tt0063522/
Padosan,8.1,1968,Sunil Dutt; Saira Banu; Mehmood; Kishore Kumar,Hindi,157,https://www.imdb.com//title/tt0063404/
2001: Een zwerftocht in de ruimte,8.3,1968,Keir Dullea; Gary Lockwood; William Sylvester; Daniel Richter,English;Russian;French,149,https://www.imdb.com//title/tt0062622/
Once Upon a Time in the West,8.5,1968,Henry Fonda; Charles Bronson; Claudia Cardinale; Jason Robards,Italian;English;Spanish,165,https://www.imdb.com//title/tt0064116/
A tanú,8.7,1969,Ferenc Kállai; Lajos Öze; Béla Both; Zoltán Fábri,Hungarian,105,https://www.imdb.com//title/tt0065067/
Brilliantovaya ruka,8.4,1969,Yuriy Nikulin; Nina Grebeshkova; Andrey Mironov; Anatoliy Papanov,Russian,94,https://www.imdb.com//title/tt0062759/
The Army of Shadows,8.1,1969,Lino Ventura; Paul Meurisse; Jean-Pierre Cassel; Simone Signoret,French;German;English,145,https://www.imdb.com//title/tt0064040/
Butch Cassidy and the Sundance Kid,8.0,1969,Paul Newman; Robert Redford; Katharine Ross; Strother Martin,English;Spanish,110,https://www.imdb.com//title/tt0064115/
Z,8.2,1969,Yves Montand; Irene Papas; Jean-Louis Trintignant; François Périer,French;Russian;English,127,https://www.imdb.com//title/tt0065234/
Beloe solntse pustyni,7.7,1970,Anatoliy Kuznetsov; Pavel Luspekayev; Spartak Mishulin; Kakhi Kavsadze,Russian,84,https://www.imdb.com//title/tt0066565/
De Rode Cirkel,7.9,1970,Alain Delon; Bourvil; Gian Maria Volontè; Yves Montand,French,140,https://www.imdb.com//title/tt0065531/
Il conformista,7.9,1970,Jean-Louis Trintignant; Stefania Sandrelli; Gastone Moschin; Enzo Tarascio,Italian;French;Latin;Chinese,113,https://www.imdb.com//title/tt0065571/
De dader staat boven verdenking,8.0,1970,Gian Maria Volontè; Florinda Bolkan; Gianni Santuccio; Orazio Orlando,Italian,115,https://www.imdb.com//title/tt0065889/
Patton,8.0,1970,George C. Scott; Karl Malden; Stephen Young; Michael Strong,English;German;French;Russian;Arabic;Italian,172,https://www.imdb.com//title/tt0066206/
Anand,8.1,1971,Rajesh Khanna; Amitabh Bachchan; Sumita Sanyal; Ramesh Deo,Hindi,122,https://www.imdb.com//title/tt0066763/
12 stulev,8.2,1971,Archil Gomiashvili; Sergey Filippov; Mikhail Pugovkin; Glikeriya Bogdanova-Chesnokova,Russian;Lithuanian;German;Georgian;French,153,https://www.imdb.com//title/tt0065670/
A Clockwork Orange,8.3,1971,Malcolm McDowell; Patrick Magee; Michael Bates; Warren Clarke,English,136,https://www.imdb.com//title/tt0066921/
Dzhentlmeny udachi,8.4,1971,Evgeniy Leonov; Georgiy Vitsin; Saveliy Kramarov; Radner Muratov,Russian,88,https://www.imdb.com//title/tt0068519/
De Laatste Kruistocht,8.5,1971,Amza Pellea; Ion Besoiu; Olga Tudorache; Irina Gardescu,Romanian,203,https://www.imdb.com//title/tt0066078/
The Godfather,9.2,1972,Marlon Brando; Al Pacino; James Caan; Diane Keaton,English;Italian;Latin,175,https://www.imdb.com//title/tt0068646/
Solaris,8.0,1972,Natalya Bondarchuk; Donatas Banionis; Jüri Järvet; Vladislav Dvorzhetskiy,Russian;German,167,https://www.imdb.com//title/tt0069293/
Schreeuw zonder antwoord,8.0,1972,Harriet Andersson; Liv Ullmann; Kari Sylwan; Ingrid Thulin,Swedish;German;Danish,91,https://www.imdb.com//title/tt0069467/
Kozure Ôkami: Sanzu no kawa no ubaguruma,7.9,1972,Tomisaburô Wakayama; Kayo Matsuo; Minoru Ôki; Akiji Kobayashi,Japanese,82,https://www.imdb.com//title/tt0068816/
Sleuth,8.0,1972,Laurence Olivier; Michael Caine; Alec Cawthorne; John Matthews,English;Italian,138,https://www.imdb.com//title/tt0069281/
Paper Moon,8.1,1973,Ryan O'Neal; Tatum O'Neal; Madeline Kahn; John Hillerman,English,102,https://www.imdb.com//title/tt0070510/
The Exorcist,8.1,1973,Ellen Burstyn; Max von Sydow; Linda Blair; Lee J. Cobb,English;Latin;Greek;French;German;Arabic;Kurdish,122,https://www.imdb.com//title/tt0070047/
Ivan Vasilevich menyaet professiyu,8.2,1973,Yuriy Yakovlev; Leonid Kuravlyov; Aleksandr Demyanenko; Saveliy Kramarov,Russian;German,88,https://www.imdb.com//title/tt0070233/
The Sting,8.3,1973,Paul Newman; Robert Redford; Robert Shaw; Charles Durning,English,129,https://www.imdb.com//title/tt0070735/
Canim Kardesim,8.7,1973,Tarik Akan; Kahraman Kiral; Halit Akçatepe; Metin Akpinar,Turkish,92,https://www.imdb.com//title/tt0267351/
Chinatown,8.2,1974,Jack Nicholson; Faye Dunaway; John Huston; Perry Lopez,English;Cantonese;Spanish,130,https://www.imdb.com//title/tt0071315/
Köyden Indim Sehire,8.3,1974,Kemal Sunal; Meral Zeren; Zeki Alasya; Metin Akpinar,Turkish,77,https://www.imdb.com//title/tt0252619/
V boy idut odni 'stariki',8.3,1974,Leonid Bykov; Sergey Podgornyy; Sergei Ivanov; Rustam Sagdullaev,Russian;Ukrainian,92,https://www.imdb.com//title/tt0070861/
Scener ur ett äktenskap,8.4,1974,Liv Ullmann; Erland Josephson; Bibi Andersson; Gunnel Lindblom,Swedish,169,https://www.imdb.com//title/tt6725014/
The Godfather: Part II,9.0,1974,Al Pacino; Robert De Niro; Robert Duvall; Diane Keaton,English;Italian;Spanish;Latin;Sicilian,202,https://www.imdb.com//title/tt0071562/
Chupke Chupke,8.3,1975,Dharmendra; Sharmila Tagore; Amitabh Bachchan; Jaya Bachchan,Hindi,146,https://www.imdb.com//title/tt0072783/
Flåklypa Grand Prix,8.5,1975,Wenche Foss; Per Theodor Haugen; Harald Heide-Steen Jr.; Leif Juster,Norwegian,88,https://www.imdb.com//title/tt0073000/
Hababam Sinifi,9.3,1975,Kemal Sunal; Münir Özkul; Halit Akçatepe; Tarik Akan,Turkish,87,https://www.imdb.com//title/tt0252487/
Bizim Aile,8.4,1975,Münir Özkul; Adile Nasit; Tarik Akan; Itir Esen,Turkish,88,https://www.imdb.com//title/tt0456047/
One Flew Over the Cuckoo's Nest,8.7,1975,Jack Nicholson; Louise Fletcher; Michael Berryman; Peter Brocco,English,133,https://www.imdb.com//title/tt0073486/
Süt Kardesler,8.9,1976,Kemal Sunal; Sener Sen; Halit Akçatepe; Hale Soygazi,Turkish,80,https://www.imdb.com//title/tt0253779/
Tosun Pasa,8.9,1976,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,Turkish,90,https://www.imdb.com//title/tt0253828/
Kapicilar Krali,8.4,1976,Kemal Sunal; Sevda Ferdag; Bilge Zobu; Sevket Altug,Turkish,84,https://www.imdb.com//title/tt0252591/
Al-risâlah,8.9,1976,Abdallah Gheith; Mona Wassef; Hamdy Gheith; Ali Achmed Taram,Arabic;English;Hindi,207,https://www.imdb.com//title/tt0075143/
Hababam Sinifi Sinifta Kaldi,8.9,1976,Kemal Sunal; Münir Özkul; Semra Özdamar; Adile Nasit,Turkish,91,https://www.imdb.com//title/tt0252488/
Çöpçüler Krali,8.6,1977,Kemal Sunal; Sener Sen; Aysen Gruda; Ihsan Yüce,Turkish,80,https://www.imdb.com//title/tt0253997/
Hababam Sinifi Tatilde,8.6,1977,Sevda Aktolga; Ahmet Ariman; Filiz Bozkurt; Aysen Gruda,Turkish,97,https://www.imdb.com//title/tt0252489/
Saban Oglu Saban,8.7,1977,Kemal Sunal; Halit Akçatepe; Sener Sen; Sevda Aktolga,Turkish,90,https://www.imdb.com//title/tt0253614/
Hababam Sinifi Uyaniyor,8.8,1977,Tayfun Akalin; Tuncay Akça; Halit Akçatepe; Sitki Akçatepe,Turkish,94,https://www.imdb.com//title/tt0252490/
De sterrenoorlogen,8.6,1977,Mark Hamill; Harrison Ford; Carrie Fisher; Alec Guinness,English,121,https://www.imdb.com//title/tt0076759/
Dawn of the Dead,7.8,1978,David Emge; Ken Foree; Scott H. Reiniger; Gaylen Ross,English;Spanish,127,https://www.imdb.com//title/tt0077402/
Höstsonaten,8.1,1978,Ingrid Bergman; Liv Ullmann; Lena Nyman; Halvar Björk,Swedish;English,99,https://www.imdb.com//title/tt0077711/
The Deer Hunter,8.1,1978,Robert De Niro; Christopher Walken; John Cazale; John Savage,English;Vietnamese;French;Russian;Cantonese,183,https://www.imdb.com//title/tt0077416/
Neseli Günler,8.7,1978,Münir Özkul; Adile Nasit; Sener Sen; Aysen Gruda,Turkish,92,https://www.imdb.com//title/tt0765833/
Kibar Feyzo,8.7,1978,Kemal Sunal; Sener Sen; Ilyas Salman; Adile Nasit,Turkish,83,https://www.imdb.com//title/tt0252597/
Alien,8.5,1979,Sigourney Weaver; Tom Skerritt; John Hurt; Veronica Cartwright,English,117,https://www.imdb.com//title/tt0078748/
Apocalypse Now,8.5,1979,Martin Sheen; Marlon Brando; Robert Duvall; Frederic Forrest,English;French;Vietnamese,147,https://www.imdb.com//title/tt0078788/
Korkusuz Korkak,8.1,1979,Kemal Sunal; Aysen Atav; Turgut Özatay; Nejat Gürçen,Turkish,77,https://www.imdb.com//title/tt0252611/
Golmaal,8.5,1979,Amol Palekar; Bindiya Goswami; Deven Verma; Shobha Khote,Hindi,120,https://www.imdb.com//title/tt0079221/
Stalker,8.1,1979,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn; Nikolay Grinko,Russian,162,https://www.imdb.com//title/tt0079944/
Raging Bull,8.2,1980,Robert De Niro; Cathy Moriarty; Joe Pesci; Frank Vincent,English,129,https://www.imdb.com//title/tt0081398/
The Shining,8.4,1980,Jack Nicholson; Shelley Duvall; Danny Lloyd; Scatman Crothers,English,146,https://www.imdb.com//title/tt0081505/
Zübük,8.6,1980,Kemal Sunal; Nevra Serezli; Kadir Savun; Bülent Kayabas,Turkish,88,https://www.imdb.com//title/tt0253991/
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,Mark Hamill; Harrison Ford; Carrie Fisher; Billy Dee Williams,English,124,https://www.imdb.com//title/tt0080684/
Ko to tamo peva,8.8,1980,Pavle Vuisic; Dragan Nikolic; Danilo 'Bata' Stojkovic; Aleksandar Bercek,Serbo-Croatian,86,https://www.imdb.com//title/tt0076276/
Das Boot,8.4,1981,Jürgen Prochnow; Herbert Grönemeyer; Klaus Wennemann; Hubertus Bengsch,German,149,https://www.imdb.com//title/tt0082096/
Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Harrison Ford; Karen Allen; Paul Freeman; John Rhys-Davies,English;German;Hebrew;Spanish;Arabic;Nepali,115,https://www.imdb.com//title/tt0082971/
Vuk,8.3,1981,Judit Pogány; József Gyabronka; Teri Földi; Gyula Szabó,Hungarian,79,https://www.imdb.com//title/tt0131636/
Davaro: Son Eskiya,8.1,1981,Kemal Sunal; Sener Sen; Pembe Mutlu; Aysen Gruda,Turkish,94,https://www.imdb.com//title/tt0252361/
Mis,8.2,1981,Stanislaw Tym; Barbara Burska; Christine Paul; Krzysztof Kowalewski,Polish;English,111,https://www.imdb.com//title/tt0082755/
Fanny och Alexander,8.1,1982,Bertil Guve; Pernilla Allwin; Kristina Adolphson; Börje Ahlstedt,Swedish;German;Yiddish;English;French,188,https://www.imdb.com//title/tt0083922/
Blade Runner,8.1,1982,Harrison Ford; Rutger Hauer; Sean Young; Edward James Olmos,Low German;English;German;Cantonese;Japanese;Hungarian;Arabic;Korean,117,https://www.imdb.com//title/tt0083658/
The Thing,8.2,1982,Kurt Russell; Wilford Brimley; Keith David; Richard Masur,English;Norwegian,109,https://www.imdb.com//title/tt0084787/
Angoor,8.3,1982,Sanjeev Kumar; Moushumi Chatterjee; Deven Verma; Aruna Irani,Hindi,131,https://www.imdb.com//title/tt0215517/
Maratonci trce pocasni krug,8.9,1982,Bogdan Diklic; Danilo 'Bata' Stojkovic; Pavle Vuisic; Mija Aleksic,Serbian,92,https://www.imdb.com//title/tt0084302/
Nostalgia,8.0,1983,Oleg Yankovskiy; Erland Josephson; Domiziana Giordano; Patrizia Terreno,Russian;Italian,125,https://www.imdb.com//title/tt0086022/
Sekerpare,8.0,1983,Ilyas Salman; Sener Sen; Yaprak Özdemiroglu; Aysen Gruda,Turkish,90,https://www.imdb.com//title/tt0494823/
Jaane Bhi Do Yaaro,8.3,1983,Naseeruddin Shah; Ravi Baswani; Bhakti Barve; Satish Shah,Hindi,132,https://www.imdb.com//title/tt0085743/
Scarface,8.3,1983,Al Pacino; Michelle Pfeiffer; Steven Bauer; Mary Elizabeth Mastrantonio,English;Spanish,170,https://www.imdb.com//title/tt0086250/
Star Wars: Episode VI - Return of the Jedi,8.3,1983,Mark Hamill; Harrison Ford; Carrie Fisher; Billy Dee Williams,English,131,https://www.imdb.com//title/tt0086190/
Balkanski spijun,8.8,1984,Danilo 'Bata' Stojkovic; Bora Todorovic; Mira Banjac; Sonja Savic,Serbo-Croatian,95,https://www.imdb.com//title/tt0086935/
Varljivo leto '68,8.5,1984,Slavko Stimac; Danilo 'Bata' Stojkovic; Mira Banjac; Mija Aleksic,Serbo-Croatian,91,https://www.imdb.com//title/tt0088338/
Namuslu,8.1,1984,Sener Sen; Adile Nasit; Aysen Gruda; Erdal Özyagcilar,Turkish,93,https://www.imdb.com//title/tt0263776/
Once Upon a Time in America,8.3,1984,Robert De Niro; James Woods; Elizabeth McGovern; Treat Williams,English;Italian;French;Yiddish;Hebrew,229,https://www.imdb.com//title/tt0087843/
Amadeus,8.4,1984,F. Murray Abraham; Tom Hulce; Elizabeth Berridge; Roy Dotrice,English;Italian;Latin;German,160,https://www.imdb.com//title/tt0086879/
Esperando la carroza,8.0,1985,Luis Brandoni; China Zorrilla; Antonio Gasalla; Julio De Grazia,Spanish,94,https://www.imdb.com//title/tt0089108/
Ran,8.2,1985,Tatsuya Nakadai; Akira Terao; Jinpachi Nezu; Daisuke Ryû,Japanese,162,https://www.imdb.com//title/tt0089881/
Idi i smotri,8.4,1985,Aleksey Kravchenko; Olga Mironova; Liubomiras Laucevicius; Vladas Bagdonas,Russian;Belarusian;German,142,https://www.imdb.com//title/tt0091251/
Terug naar de toekomst,8.5,1985,Michael J. Fox; Christopher Lloyd; Lea Thompson; Crispin Glover,English,116,https://www.imdb.com//title/tt0088763/
Zügürt Aga,8.7,1985,Sener Sen; Erdal Özyagcilar; Nilgün Nazli; Füsun Demirel,Turkish,101,https://www.imdb.com//title/tt0201368/
Aliens,8.4,1986,Sigourney Weaver; Michael Biehn; Carrie Henn; Paul Reiser,English,137,https://www.imdb.com//title/tt0090605/
Macskafogó,8.4,1986,Miklós Benedek; Gyula Bodrogi; Ilona Béres; Péter Haumann,Hungarian,96,https://www.imdb.com//title/tt0179955/
Stand by Me,8.1,1986,Wil Wheaton; River Phoenix; Corey Feldman; Jerry O'Connell,English,89,https://www.imdb.com//title/tt0092005/
Jean de Florette,8.1,1986,Yves Montand; Gérard Depardieu; Daniel Auteuil; Elisabeth Depardieu,French,120,https://www.imdb.com//title/tt0091288/
Platoon,8.1,1986,Charlie Sheen; Tom Berenger; Willem Dafoe; Keith David,English;Vietnamese,120,https://www.imdb.com//title/tt0091763/
Hachikô monogatari,8.0,1987,Tatsuya Nakadai; Kaoru Yachigusa; Toshinori Omi; Toshirô Yanagiba,Japanese,107,https://www.imdb.com//title/tt0093132/
Khane-ye doust kodjast?,8.1,1987,Babek Ahmed Poor; Ahmed Ahmed Poor; Khodabakhsh Defaei; Iran Outari,Persian,83,https://www.imdb.com//title/tt0093342/
Full Metal Jacket,8.3,1987,Matthew Modine; R. Lee Ermey; Vincent D'Onofrio; Adam Baldwin,English;Vietnamese,116,https://www.imdb.com//title/tt0093058/
Muhsin Bey,8.5,1987,Sener Sen; Ugur Yücel; Sermin Hürmeriç; Osman Cavci,Turkish,119,https://www.imdb.com//title/tt0184756/
Nayakan,8.7,1987,Kamal Haasan; Saranya Ponvannan; Delhi Ganesh; Janakaraj,Hindi;Tamil,145,https://www.imdb.com//title/tt0093603/
Hotaru no haka,8.5,1988,Tsutomu Tatsumi; Ayano Shiraishi; Akemi Yamaguchi; Yoshiko Shinohara,Japanese,89,https://www.imdb.com//title/tt0095327/
Chithram,8.7,1988,Mohanlal; Nedumudi Venu; Renjini; Poornam Vishwanathan,Malayalam,159,https://www.imdb.com//title/tt0214585/
Die Hard,8.2,1988,Bruce Willis; Alan Rickman; Bonnie Bedelia; Reginald VelJohnson,English;German;Italian;Japanese,132,https://www.imdb.com//title/tt0095016/
Krótki film o milosci,8.2,1988,Grazyna Szapolowska; Olaf Lubaszenko; Stefania Iwinska; Piotr Machalica,Polish;Portuguese,87,https://www.imdb.com//title/tt0095467/
Nuovo Cinema Paradiso,8.5,1988,Philippe Noiret; Enzo Cannavale; Antonella Attili; Isa Danieli,Italian,155,https://www.imdb.com//title/tt0095765/
Dead Poets Society,8.1,1989,Robin Williams; Robert Sean Leonard; Ethan Hawke; Josh Charles,English;Latin,128,https://www.imdb.com//title/tt0097165/
Indiana Jones and the Last Crusade,8.2,1989,Harrison Ford; Sean Connery; Alison Doody; Denholm Elliott,English;German;Greek;Arabic,127,https://www.imdb.com//title/tt0097576/
Uçurtmayi Vurmasinlar,8.3,1989,Ozan Bilen; Nur Sürer; Füsun Demirel; Güzin Özipek,Turkish,100,https://www.imdb.com//title/tt0098573/
Oru Vadakkan Veeragatha,8.8,1989,Mammootty; Madhavi; Devan; Suresh Gopi,Malayalam,168,https://www.imdb.com//title/tt0230597/
Kireedam,8.9,1989,Mohanlal; Thilakan; Kaviyoor Ponnamma; Parvathi,Malayalam,124,https://www.imdb.com//title/tt0237376/
Edward Scissorhands,7.9,1990,Johnny Depp; Winona Ryder; Dianne Wiest; Anthony Michael Hall,English,105,https://www.imdb.com//title/tt0099487/
Dances with Wolves,8.0,1990,Kevin Costner; Mary McDonnell; Graham Greene; Rodney A. Grant,English;Sioux;Pawnee,181,https://www.imdb.com//title/tt0099348/
Hamoun,8.0,1990,Pantea Bahram; Ezzatolah Entezami; Bita Farahi; Sedigheh Kianfar,Persian,120,https://www.imdb.com//title/tt0099729/
Nema-ye Nazdik,8.2,1990,Hossain Sabzian; Mohsen Makhmalbaf; Abolfazl Ahankhah; Mehrdad Ahankhah,Persian;Azerbaijani,98,https://www.imdb.com//title/tt0100234/
Goodfellas,8.7,1990,Robert De Niro; Ray Liotta; Joe Pesci; Lorraine Bracco,English;Italian,145,https://www.imdb.com//title/tt0099685/
Terminator 2: Judgment Day,8.6,1991,Arnold Schwarzenegger; Linda Hamilton; Edward Furlong; Robert Patrick,English;Spanish,137,https://www.imdb.com//title/tt0103064/
The Silence of the Lambs,8.6,1991,Jodie Foster; Anthony Hopkins; Lawrence A. Bonney; Kasi Lemmons,English;Latin,118,https://www.imdb.com//title/tt0102926/
Gu ling jie shao nian sha ren shi jian,8.3,1991,Chang Chen; Lisa Yang; Kuo-Chu Chang; Elaine Jin,Mandarin;Min Nan;Shanghainese;English,237,https://www.imdb.com//title/tt0101985/
Da hong deng long gao gao gua,8.1,1991,Gong Li; Jingwu Ma; Saifei He; Cuifen Cao,Mandarin,125,https://www.imdb.com//title/tt0101640/
Thalapathi,8.5,1991,Rajinikanth; Mammootty; Shobana; Arvind Swamy,Tamil,157,https://www.imdb.com//title/tt0101649/
Unforgiven,8.2,1992,Clint Eastwood; Gene Hackman; Morgan Freeman; Richard Harris,English,130,https://www.imdb.com//title/tt0105695/
Jo Jeeta Wohi Sikandar,8.2,1992,Aamir Khan; Ayesha Jhulka; Deepak Tijori; Pooja Bedi,Hindi;English,174,https://www.imdb.com//title/tt0104561/
Mi nismo andjeli,8.3,1992,Nikola Kojo; Milena Pavlovic; Branka Katic; Srdjan 'Zika' Todorovic,Serbian,98,https://www.imdb.com//title/tt0104860/
Reservoir Dogs,8.3,1992,Harvey Keitel; Tim Roth; Michael Madsen; Chris Penn,English,99,https://www.imdb.com//title/tt0105236/
Thevar Magan,8.8,1992,Kamal Haasan; Shivaji Ganesan; Nassar; Revathi,Tamil,145,https://www.imdb.com//title/tt0105575/
In the Name of the Father,8.1,1993,Daniel Day-Lewis; Pete Postlethwaite; Alison Crosbie; Philip King,English,133,https://www.imdb.com//title/tt0107207/
Jurassic Park,8.2,1993,Sam Neill; Laura Dern; Jeff Goldblum; Richard Attenborough,English;Spanish,127,https://www.imdb.com//title/tt0107290/
Devasuram,8.7,1993,Mohanlal; Revathi; Nedumudi Venu; Innocent,Malayalam,187,https://www.imdb.com//title/tt0291855/
Manichitrathazhu,8.8,1993,Shobana; Suresh Gopi; Mohanlal; Vinaya Prasad,Malayalam,169,https://www.imdb.com//title/tt0214915/
Schindler's List,9.0,1993,Liam Neeson; Ralph Fiennes; Ben Kingsley; Caroline Goodall,English;Hebrew;German;Polish;Latin,195,https://www.imdb.com//title/tt0108052/
The Shawshank Redemption,9.3,1994,Tim Robbins; Morgan Freeman; Bob Gunton; William Sadler,English,142,https://www.imdb.com//title/tt0111161/
Pulp Fiction,8.9,1994,John Travolta; Uma Thurman; Samuel L. Jackson; Bruce Willis,English;Spanish;French,154,https://www.imdb.com//title/tt0110912/
Forrest Gump,8.8,1994,Tom Hanks; Robin Wright; Gary Sinise; Sally Field,English,142,https://www.imdb.com//title/tt0109830/
Léon,8.5,1994,Jean Reno; Gary Oldman; Natalie Portman; Danny Aiello,English;Italian;French,110,https://www.imdb.com//title/tt0110413/
The Lion King,8.5,1994,Matthew Broderick; Jeremy Irons; James Earl Jones; Whoopi Goldberg,English;Swahili;Xhosa;Zulu,88,https://www.imdb.com//title/tt0110357/
Heat,8.3,1995,Al Pacino; Robert De Niro; Val Kilmer; Jon Voight,English;Spanish,170,https://www.imdb.com//title/tt0113277/
Braveheart,8.4,1995,Mel Gibson; Sophie Marceau; Patrick McGoohan; Angus Macfadyen,English;French;Latin;Gaelic;Italian,178,https://www.imdb.com//title/tt0112573/
The Usual Suspects,8.5,1995,Kevin Spacey; Gabriel Byrne; Chazz Palminteri; Stephen Baldwin,English;Hungarian;Spanish;French,106,https://www.imdb.com//title/tt0114814/
Seven,8.6,1995,Morgan Freeman; Brad Pitt; Kevin Spacey; Andrew Kevin Walker,English,127,https://www.imdb.com//title/tt0114369/
Spadikam,8.7,1995,Chippy; K.P.A.C. Lalitha; Thilakan; Urvashi,Malayalam,150,https://www.imdb.com//title/tt0292246/
Eskiya,8.1,1996,Sener Sen; Ugur Yücel; Sermin Hürmeriç; Yesim Salkim,Turkish,128,https://www.imdb.com//title/tt0116231/
Trainspotting,8.1,1996,Ewan McGregor; Ewen Bremner; Jonny Lee Miller; Kevin McKidd,English,93,https://www.imdb.com//title/tt0117951/
Fargo,8.1,1996,William H. Macy; Frances McDormand; Steve Buscemi; Peter Stormare,English,98,https://www.imdb.com//title/tt0116282/
Lepa sela lepo gore,8.6,1996,Dragan Bjelogrlic; Nikola Kojo; Dragan Maksimovic; Zoran Cvijanovic,Bosnian;Serbian;English,115,https://www.imdb.com//title/tt0116860/
Poove Unakkaga,8.8,1996,Anju Aravind; Madhan Bob; Charlie; Jai Ganesh,Tamil,150,https://www.imdb.com//title/tt2325915/
Het leven is mooi,8.6,1997,Roberto Benigni; Nicoletta Braschi; Giorgio Cantarini; Giustino Durano,Italian;German;English,116,https://www.imdb.com//title/tt0118799/
Iruvar,8.5,1997,Mohanlal; Aishwarya Rai Bachchan; Prakash Raj; Gautami,Tamil,140,https://www.imdb.com//title/tt0119385/
Good Will Hunting,8.3,1997,Robin Williams; Matt Damon; Ben Affleck; Stellan Skarsgård,English,126,https://www.imdb.com//title/tt0119217/
L.A. Confidential,8.3,1997,Kevin Spacey; Russell Crowe; Guy Pearce; Kim Basinger,English,138,https://www.imdb.com//title/tt0119488/
Mononoke-hime,8.4,1997,Yôji Matsuda; Yuriko Ishida; Yûko Tanaka; Billy Crudup,Japanese,134,https://www.imdb.com//title/tt0119698/
"Lock, Stock and Two Smoking Barrels",8.2,1998,Jason Flemyng; Dexter Fletcher; Nick Moran; Jason Statham,English,107,https://www.imdb.com//title/tt0120735/
Satya,8.3,1998,J.D. Chakravarthi; Manoj Bajpayee; Urmila Matondkar; Paresh Rawal,Hindi,170,https://www.imdb.com//title/tt0195231/
American History X,8.5,1998,Edward Norton; Edward Furlong; Beverly D'Angelo; Jennifer Lien,English,119,https://www.imdb.com//title/tt0120586/
Saving Private Ryan,8.6,1998,Tom Hanks; Matt Damon; Tom Sizemore; Edward Burns,English;French;German;Czech,169,https://www.imdb.com//title/tt0120815/
Lajanje na zvezde,8.7,1998,Dragan Micanovic; Natasa Tapuskovic; Nikola Simic; Velimir 'Bata' Zivojinovic,Serbian,95,https://www.imdb.com//title/tt0187231/
The Matrix,8.7,1999,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss; Hugo Weaving,English,136,https://www.imdb.com//title/tt0133093/
Fight Club,8.8,1999,Brad Pitt; Edward Norton; Meat Loaf; Zach Grenier,English,139,https://www.imdb.com//title/tt0137523/
Thulladha Manamum Thullum,8.4,1999,Thalapathy Vijay; Simran; Dhamu; Vaiyapuri,Tamil,170,https://www.imdb.com//title/tt1517561/
Mudhalvan,8.4,1999,Arjun Sarja; Manisha Koirala; Raghuvaran; Vadivelu,Tamil,169,https://www.imdb.com//title/tt0220656/
The Green Mile,8.6,1999,Tom Hanks; Michael Clarke Duncan; David Morse; Bonnie Hunt,English;French,189,https://www.imdb.com//title/tt0120689/
Alai Payuthey,8.3,2000,Madhavan; Shalini; Swarnamalya; V. Natarajan,Tamil,156,https://www.imdb.com//title/tt0242256/
